"TABLE 9-9. Employment status of scientists and engineers, by age, sex, ethnicity, race, and disability status: 2013",,,,,,,,
,,Employed,,,,Not employed,,
"Age (years), sex, ethnicity, race, and disability status",Total,Full time,Part time,Postdoctoral appointmenta,,"Seeking 
employment",Not seeking employment,Retiredb
,,,,,,,,
75 and younger                         ,"28,521,000","19,320,000","3,872,000","27,000",,"912,000","1,694,000","2,697,000"
Female                         ,"13,590,000","8,059,000","2,630,000","11,000",,"429,000","1,296,000","1,166,000"
Male                           ,"14,931,000","11,261,000","1,243,000","16,000",,"483,000","398,000","1,530,000"
Hispanic or Latinoc                       ,"2,089,000","1,473,000","283,000","2,000",,"82,000","145,000","105,000"
Not Hispanic or Latino                       , ,,,,,,,
American Indian or Alaska Native  ,"80,000","42,000","26,000",D,,"3,000","3,000","6,000"
Asian                          ,"3,199,000","2,289,000","346,000","10,000",,"121,000","298,000","135,000"
Black or African American                          ,"1,791,000","1,268,000","181,000","1,000",,"112,000","78,000","151,000"
Native Hawaiian or Other Pacific Islander,"83,000","68,000","6,000",*,,"2,000","5,000","2,000"
White                          ,"20,833,000","13,900,000","2,952,000","14,000",,"565,000","1,132,000","2,270,000"
More than one race,"446,000","280,000","78,000",*,,"27,000","33,000","28,000"
Without disability                  ,"25,441,000","17,754,000","3,473,000","26,000",,"750,000","1,358,000","2,080,000"
With disability                ,"3,080,000","1,566,000","400,000","1,000",,"162,000","336,000","616,000"
, ,,,,,,,
29 and younger                 ,"3,636,000","2,651,000","509,000","2,000",,"143,000","331,000",D
Female                       ,"1,991,000","1,354,000","337,000","1,000",,"77,000","222,000",D
Male                         ,"1,645,000","1,297,000","172,000","1,000",,"66,000","109,000",D
Hispanic or Latinoc                     ,"360,000","250,000","64,000",D,,"17,000","29,000",D
Not Hispanic or Latino                     , ,,,,,,,
American Indian or Alaska Native,"6,000","4,000","2,000",D,,D,*,D
Asian                        ,"511,000","324,000","76,000","1,000",,"26,000","84,000",D
Black or African American                        ,"227,000","155,000","39,000",D,,"17,000","16,000",D
Native Hawaiian or Other Pacific Islander,"10,000","6,000","1,000",D,,D,S,D
White                        ,"2,428,000","1,849,000","309,000","1,000",,"77,000","192,000",D
More than one race,"95,000","63,000","19,000",D,,"5,000","7,000",D
Without disability                ,"3,477,000","2,548,000","481,000","2,000",,"135,000","311,000",D
With disability              ,"160,000","103,000","28,000",D,,"8,000","20,000",D
, ,,,,,,,
30?39                          ,"6,501,000","5,005,000","803,000","21,000",,"188,000","483,000",S
Female                       ,"3,397,000","2,232,000","629,000","9,000",,"107,000","419,000",D
Male                         ,"3,104,000","2,773,000","174,000","13,000",,"80,000","63,000",D
Hispanic or Latinoc                     ,"608,000","461,000","69,000","1,000",,"22,000","54,000",D
Not Hispanic or Latino                     , ,,,,,,,
American Indian or Alaska Native,"14,000","9,000",S,D,,D,D,D
Asian                        ,"1,023,000","773,000","93,000","8,000",,"32,000","117,000",D
Black or African American                        ,"438,000","359,000","29,000","1,000",,"28,000","22,000",D
Native Hawaiian or Other Pacific Islander,"29,000","25,000","2,000",*,,D,S,D
